"Rol","Tipo de lesión","Edad","Sexo","Vehiculo en  el que viajaba","Año","Provincia","Cantón","Distrito","Día","Mes","Edad quinquenal"
"Ciclista","Muerte","21","Hombre","Bicicleta",2023,"Alajuela","San Carlos","Florencia","3.Martes","L. Diciembre","De 20 a 24"
"Motociclista","Muerte","19","Hombre","Motocicleta",2023,"San José","Aserrí","Salitrillos","2.Lunes","K. Noviembre","De 15 a 19"
"Conductor","Muerte","31","Hombre","Desconocido",2023,"San José","Goicoechea","Purral","1.Domingo","L. Diciembre","De 30 a 34"
"Motociclista","Muerte","36","Hombre","Motocicleta",2023,"Guanacaste","Bagaces","La Fortuna","2.Lunes","A. Enero","De 35 a 39"
"Ciclista","Muerte","18","Hombre","Bicicleta",2023,"San José","Puriscal","Santiago","6.Viernes","D. Abril","De 15 a 19"
"Peatón","Muerte","64","Hombre","No aplica",2023,"Alajuela","Alajuela","San Antonio","6.Viernes","K. Noviembre","De 60 a 64"
"Conductor","Muerte","42","Hombre","Automóvil",2023,"Alajuela","Orotina","Orotina","1.Domingo","F. Junio","De 40 a 44"
"Pasajero carro","Muerte","Desconocido","Desconocido","Automóvil",2023,"Alajuela","Orotina","Orotina","1.Domingo","F. Junio","Desconocida"
"Pasajero bicicleta","Muerte","51","Hombre","Bicicleta",2023,"San José","Desamparados","Desamparados","3.Martes","K. Noviembre","De 50 a 54"
"Peatón","Muerte","76","Hombre","No aplica",2023,"Alajuela","Alajuela","San Antonio","7.Sábado","J. Octubre","75 y más"
"Motociclista","Muerte","18","Hombre","Motocicleta",2023,"San José","Desamparados","Rosario","7.Sábado","F. Junio","De 15 a 19"
"Motociclista","Muerte","29","Hombre","Motocicleta",2023,"San José","Alajuelita","San Felipe","6.Viernes","L. Diciembre","De 25 a 29"
"Peatón","Muerte","Desconocido","Hombre","No aplica",2023,"Guanacaste","Carrillo","Palmira","6.Viernes","H. Agosto","Desconocida"
"Peatón","Muerte","63","Hombre","No aplica",2023,"Puntarenas","Corredores","Canoas","1.Domingo","C. Marzo","De 60 a 64"
"Motociclista","Muerte","21","Hombre","Motocicleta",2023,"Puntarenas","Coto Brus","San Vito","1.Domingo","I. Setiembre","De 20 a 24"
"Motociclista","Muerte","26","Mujer","Motocicleta",2023,"Guanacaste","Carrillo","Sardinal","1.Domingo","B. Febrero","De 25 a 29"
"Motociclista","Muerte","48","Hombre","Motocicleta",2023,"Guanacaste","Carrillo","Sardinal","1.Domingo","G. Julio","De 45 a 49"
"Motociclista","Muerte","56","Hombre","Motocicleta",2023,"Guanacaste","Carrillo","Filadelfia","6.Viernes","I. Setiembre","De 55 a 59"
"Motociclista","Muerte","40","Hombre","Motocicleta",2023,"Alajuela","San Ramón","Santiago","1.Domingo","B. Febrero","De 40 a 44"
"Motociclista","Muerte","Desconocido","Hombre","Motocicleta",2023,"Puntarenas","Montes de Oro","San Isidro","4.Miércoles","B. Febrero","Desconocida"
"Peatón","Muerte","38","Mujer","No aplica",2023,"Puntarenas","Esparza","Espíritu Santo","6.Viernes","I. Setiembre","De 35 a 39"
"Ciclista","Muerte","46","Hombre","Bicicleta",2023,"Limón","Pococí","Rita","2.Lunes","H. Agosto","De 45 a 49"
"Peatón","Muerte","12","Mujer","No aplica",2023,"San José","Pérez Zeledón","Daniel Flores","7.Sábado","L. Diciembre","De 10 a 14"
"Peatón","Muerte","75","Hombre","No aplica",2023,"San José","Pérez Zeledón","San Isidro de El General","4.Miércoles","B. Febrero","75 y más"
